,speed(RPM),max_torque
371,3410,246.541364
372,3418,246.541364
373,3426,246.541364
374,3434,246.541364
375,3441,246.541364
376,3449,246.541364
377,3457,246.541364
378,3465,246.541364
379,3472,246.541364
380,3480,246.541364
381,3488,246.541364
382,3496,246.541364
383,3503,246.541364
384,3511,246.541364
385,3519,246.541364
386,3527,246.541364
387,3534,246.541364
388,3542,246.541364
389,3550,246.541364
390,3558,246.541364
391,3566,246.541364
392,3573,246.541364
393,3581,246.541364
394,3589,246.541364
395,3597,246.541364
396,3604,246.541364
397,3612,246.541364
398,3620,246.541364
399,3628,246.541364
400,3635,246.541364
401,3643,246.541364
402,3651,246.541364
403,3659,246.541364
404,3666,246.541364
405,3674,246.541364
406,3682,246.541364
407,3690,246.541364
408,3697,246.541364
409,3705,246.541364
410,3713,246.541364
411,3721,246.541364
412,3728,246.541364
413,3736,246.541364
414,3744,246.541364
415,3752,246.541364
416,3759,246.541364
417,3767,246.541364
418,3775,246.541364
419,3783,246.541364
420,3791,246.541364
421,3798,246.541364
422,3806,246.541364
423,3814,246.541364
424,3822,246.541364
425,3829,246.541364
426,3837,246.541364
427,3845,246.541364
428,3853,246.541364
429,3860,246.541364
430,3868,246.541364
431,3876,246.541364
432,3884,246.541364
433,3891,246.541364
434,3899,246.541364
435,3907,246.541364
436,3915,246.541364
437,3922,246.541364
438,3930,246.541364
439,3938,246.541364
440,3946,246.541364
441,3953,246.541364
442,3961,246.541364
443,3969,246.541364
444,3977,246.541364
445,3984,246.541364
446,3992,246.541364
447,4000,246.541364
448,4008,246.541364
449,4016,246.541364
450,4023,246.541364
451,4031,246.541364
452,4039,246.2537711
453,4047,245.966272
454,4054,245.966272
455,4062,245.6788663
456,4070,245.6788663
457,4078,245.6788663
458,4085,245.3915534
459,4093,245.3915534
460,4101,245.3915534
461,4109,245.1043327
462,4116,245.1043327
463,4124,245.1043327
464,4132,244.8172037
465,4140,244.5301658
466,4147,244.5301658
467,4155,244.5301658
468,4163,244.2432186
469,4171,243.9563615
470,4178,243.9563615
471,4186,243.9563615
472,4194,243.6695939
473,4202,243.6695939
474,4209,243.6695939
475,4217,243.6695939
476,4225,243.3829154
477,4233,242.8098233
478,4240,242.5234087
479,4248,242.5234087
480,4256,242.5234087
481,4264,242.2370809
482,4272,242.2370809
483,4279,241.9508396
484,4287,241.9508396
485,4295,241.6646842
486,4303,241.6646842
487,4310,241.6646842
488,4318,241.378614
489,4326,241.378614
490,4334,241.378614
491,4341,241.0926287
492,4349,241.0926287
493,4357,240.8067277
494,4365,240.8067277
495,4372,240.5209105
496,4380,240.2351765
497,4388,240.2351765
498,4396,239.9495253
499,4403,239.9495253
500,4411,239.6639563
501,4419,239.6639563
502,4427,239.3784691
503,4434,239.3784691
504,4442,239.093063
505,4450,239.093063
506,4458,239.093063
507,4465,238.8077377
508,4473,238.8077377
509,4481,238.5224925
510,4489,238.5224925
511,4496,238.237327
512,4504,238.237327
513,4512,238.237327
514,4520,237.9522407
515,4528,237.9522407
516,4535,237.9522407
517,4543,237.6672331
518,4551,237.6672331
519,4559,237.3823037
520,4566,237.3823037
521,4574,237.3823037
522,4582,237.3823037
523,4590,237.0974519
524,4597,237.0974519
525,4605,236.8126772
526,4613,236.8126772
527,4621,236.5279793
528,4628,236.5279793
529,4636,236.2433575
530,4644,236.2433575
531,4652,235.9588114
532,4659,235.6743404
533,4667,235.6743404
534,4675,235.3899442
535,4683,235.3899442
536,4690,235.1056221
537,4698,235.1056221
538,4706,234.8213737
539,4714,234.8213737
540,4721,234.5371986
541,4729,234.5371986
542,4737,234.5371986
543,4745,234.2530961
544,4752,233.9690659
545,4760,233.9690659
546,4768,233.6851074
547,4776,233.6851074
548,4783,233.4012202
549,4791,233.4012202
550,4799,233.4012202
551,4807,233.1174038
552,4815,233.1174038
553,4822,232.8336577
554,4830,232.8336577
555,4838,232.5499814
556,4846,232.2663745
557,4853,231.9828364
558,4861,231.9828364
559,4869,231.9828364
560,4877,231.6993667
561,4884,231.6993667
562,4892,231.6993667
563,4900,231.6993667
564,4908,231.4159649
565,4915,231.4159649
566,4923,231.1326305
567,4931,231.1326305
568,4939,230.8493631
569,4946,230.8493631
570,4954,230.8493631
571,4962,230.5661622
572,4970,230.5661622
573,4977,230.2830274
574,4985,230.2830274
575,4993,230.2830274
576,5001,229.999958
577,5008,229.7169538
578,5016,229.7169538
579,5024,229.4340142
580,5032,229.1511388
581,5039,229.1511388
582,5047,228.8683271
583,5055,228.8683271
584,5063,228.5855786
585,5071,228.5855786
586,5078,228.3028929
587,5086,228.3028929
588,5094,228.0202695
589,5102,228.0202695
590,5109,228.0202695
591,5117,227.737708
592,5125,227.4552079
593,5133,227.4552079
594,5140,227.4552079
595,5148,227.1727687
596,5156,226.8903901
597,5164,226.6080715
598,5171,226.3258125
599,5179,226.0436126
600,5187,225.7614715
601,5195,225.4793886
602,5202,225.1973635
603,5210,224.9153958
604,5218,224.6334851
605,5226,224.3516308
606,5233,224.0698325
607,5241,223.5064024
608,5249,223.2247697
609,5257,222.9431913
610,5264,222.6616668
611,5272,222.3801957
612,5280,222.0987776
613,5288,221.5360988
614,5295,221.2548372
615,5303,220.9736269
616,5311,220.6924674
617,5319,220.6924674
618,5327,220.4113585
619,5334,219.8492903
620,5342,219.5683302
621,5350,219.2874189
622,5358,219.006556
623,5365,218.7257411
624,5373,218.4449737
625,5381,218.4449737
626,5389,217.8835799
627,5396,217.6029527
628,5404,217.3223714
629,5412,217.0418356
630,5420,216.7613449
631,5427,216.480899
632,5435,216.2004973
633,5443,215.6398253
634,5451,215.3595542
635,5458,215.0793258
636,5466,214.7991397
637,5474,214.5189955
638,5482,214.2388929
639,5489,213.9588314
640,5497,213.6788107
641,5505,213.3988303
642,5513,212.8389892
643,5520,212.8389892
644,5528,212.5591277
645,5536,212.2793049
646,5544,211.9995207
647,5551,211.7197745
648,5559,211.440066
649,5567,211.1603948
650,5575,210.8807606
651,5583,210.601163
652,5590,210.3216015
653,5598,210.0420759
654,5606,209.7625858
655,5614,209.4831307
656,5621,209.2037104
657,5629,208.6449724
658,5637,208.3656541
659,5645,208.086369
660,5652,207.8071168
661,5660,207.5278972
662,5668,207.2487098
663,5676,206.9695542
664,5683,206.6904301
665,5691,206.4113372
666,5699,205.8532433
667,5707,205.8532433
668,5714,205.2952697
669,5722,205.2952697
670,5730,205.0163271
671,5738,204.7374136
672,5745,204.4585288
673,5753,203.900844
674,5761,203.900844
675,5769,203.3432698
676,5776,203.3432698
677,5784,203.0645234
678,5792,202.7858036
679,5800,202.5071102
680,5808,202.2284428
681,5815,201.6711846
682,5823,201.6711846
683,5831,201.3925932
684,5839,201.1140265
685,5846,200.5569658
686,5854,200.5569658
687,5862,200
688,5870,199.7215518
689,5877,199.7215518
690,5885,199.1647234
691,5893,199.1647234
692,5901,198.8863426
693,5908,198.8863426
694,5916,198.3296459
695,5924,198.3296459
696,5932,198.0513295
697,5939,197.773034
698,5947,197.494759
699,5955,197.2165042
700,5963,197.2165042
701,5970,196.9382694
702,5978,196.6600542
703,5986,196.1036816
704,5994,196.1036816
705,6001,195.8255235
706,6009,195.2692623
707,6017,195.2692623
708,6025,194.9911586
709,6033,194.7130724
710,6040,194.1569515
711,6048,193.8789161
712,6056,193.6008972
713,6064,193.6008972
714,6071,193.3228943
715,6079,193.0449072
716,6087,192.7669356
717,6095,192.4889792
718,6102,192.2110377
719,6110,191.9331109
720,6118,191.9331109
721,6126,191.3773002
722,6133,191.0994157
723,6141,190.8215447
724,6149,190.8215447
725,6157,190.543687
726,6164,190.543687
727,6172,190.2658422
728,6180,189.9880102
729,6188,189.7101907
730,6195,189.4323833
731,6203,189.1545878
732,6211,188.8768039
733,6219,188.5990315
734,6227,188.5990315
735,6234,188.0435196
736,6242,187.7657796
737,6250,187.7657796
738,6258,187.48805
739,6265,187.2103305
740,6273,186.9326208
741,6281,186.6549206
742,6289,186.6549206
743,6296,186.3772297
744,6304,186.0995479
745,6312,186.0995479
746,6320,185.8218748
747,6327,185.5442103
748,6335,185.2665541
749,6343,185.2665541
750,6351,184.9889059
751,6358,184.7112655
752,6366,184.4336327
753,6374,184.1560072
754,6382,183.8783888
755,6389,183.6007771
756,6397,183.3231721
757,6405,183.0455734
758,6413,182.7679808
759,6421,182.4903941
760,6428,182.4903941
761,6436,182.212813
762,6444,181.9352374
763,6452,181.6576669
764,6459,181.6576669
765,6467,181.3801014
766,6475,181.1025405
767,6483,180.8249842
768,6490,180.8249842
769,6498,180.5474321
770,6506,180.2698841
771,6514,179.9923399
772,6521,179.7147992
773,6529,179.437262
774,6537,179.1597279
775,6545,179.1597279
776,6552,178.8821967
777,6560,178.6046683
778,6568,178.6046683
779,6576,178.3271423
780,6584,178.0496187
781,6591,178.0496187
782,6599,177.7720971
783,6607,177.4945774
784,6615,177.4945774
785,6622,177.2170593
786,6630,176.9395427
787,6638,176.9395427
788,6646,176.6620274
789,6653,176.384513
790,6661,176.1069996
791,6669,175.8294867
792,6677,175.8294867
793,6684,175.5519742
794,6692,175.274462
795,6700,175.274462
796,6708,174.9969498
797,6715,174.7194375
798,6723,174.7194375
799,6731,174.4419248
800,6739,174.1644115
801,6747,173.8868975
802,6754,173.3318664
803,6762,173.0543489
804,6770,173.0543489
805,6778,172.77683
806,6785,172.4993093
807,6793,172.4993093
808,6801,172.2217868
809,6809,171.9442622
810,6816,171.6667354
811,6824,171.6667354
812,6832,171.3892061
813,6840,171.1116742
814,6847,170.8341395
815,6855,170.8341395
816,6863,170.5566019
817,6871,170.5566019
818,6878,170.2790611
819,6886,170.001517
820,6894,170.001517
821,6902,169.7239694
822,6910,169.7239694
823,6917,169.4464181
824,6925,169.4464181
825,6933,169.1688631
826,6941,168.891304
827,6948,168.6137407
828,6956,168.6137407
829,6964,168.3361732
830,6972,168.0586011
831,6979,168.0586011
832,6987,167.7810244
833,6995,167.5034428
834,7003,167.2258563
835,7010,167.2258563
836,7018,166.9482646
837,7026,166.6706676
838,7034,166.3930652
839,7042,166.3930652
840,7049,166.1154572
841,7057,165.8378434
842,7065,165.8378434
843,7073,165.5602236
844,7080,165.2825979
845,7088,165.2825979
846,7096,165.0049659
847,7104,165.0049659
848,7111,164.7273275
849,7119,164.4496826
850,7127,164.4496826
851,7135,164.1720311
852,7142,164.1720311
853,7150,163.8943727
854,7158,163.6167075
855,7166,163.6167075
856,7174,163.3390351
857,7181,163.3390351
858,7189,163.0613555
859,7197,162.7836685
860,7205,162.7836685
861,7212,162.7836685
862,7220,162.5059741
863,7228,162.228272
864,7236,162.228272
865,7243,161.9505621
866,7251,161.6728444
867,7259,161.6728444
868,7267,161.6728444
869,7274,161.6728444
870,7282,161.3951185
871,7290,161.1173846
872,7298,161.1173846
873,7306,160.8396423
874,7313,160.5618916
875,7321,160.2841324
876,7329,160.0063645
877,7337,159.7285877
878,7344,159.7285877
879,7352,159.4508021
880,7360,159.1730074
881,7368,159.1730074
882,7375,158.8952036
883,7383,158.8952036
884,7391,158.6173905
885,7399,158.3395679
886,7406,158.3395679
887,7414,158.0617359
888,7422,158.0617359
889,7430,157.7838943
890,7438,157.7838943
891,7445,157.5060429
892,7453,157.5060429
893,7461,157.2281816
894,7469,157.2281816
895,7476,156.9503104
896,7484,156.9503104
897,7492,156.9503104
898,7500,156.6724292
899,7507,156.3945377
900,7515,156.116636
901,7523,155.8387239
902,7531,155.5608013
903,7538,155.5608013
904,7546,155.2828681
905,7554,155.0049242
906,7562,155.0049242
907,7570,154.7269695
908,7577,154.7269695
909,7585,154.449004
910,7593,154.1710275
911,7601,154.1710275
912,7608,153.8930398
913,7616,153.615041
914,7624,153.615041
915,7632,153.337031
916,7639,153.337031
917,7647,153.0590096
918,7655,152.7809767
919,7663,152.7809767
920,7671,152.5029323
921,7678,152.5029323
922,7686,152.2248763
923,7694,151.9468086
924,7702,151.9468086
925,7709,151.6687291
926,7717,151.6687291
927,7725,151.3906377
928,7733,151.3906377
929,7740,151.1125344
930,7748,151.1125344
931,7756,150.834419
932,7764,150.834419
933,7772,150.5562916
934,7779,150.5562916
935,7787,150.2781519
936,7795,150.2781519
937,7803,150
938,7810,150
939,7818,149.7218357
940,7826,149.4436591
941,7834,149.4436591
942,7841,149.1654699
943,7849,148.8872682
944,7857,148.8872682
945,7865,148.6090539
946,7872,148.6090539
947,7880,148.3308269
948,7888,148.3308269
949,7896,148.0525871
950,7904,148.0525871
951,7911,147.7743345
952,7919,147.7743345
953,7927,147.496069
954,7935,147.496069
955,7942,147.2177906
956,7950,147.2177906
957,7958,147.2177906
958,7966,146.9394991
959,7973,146.9394991
960,7981,146.6611946
961,7989,146.382877
962,7997,146.382877
963,8005,146.382877
964,8012,146.1045462
965,8020,145.8262022
966,8028,145.8262022
967,8036,145.5478448
968,8043,145.5478448
969,8051,145.2694741
970,8059,145.2694741
971,8067,144.9910901
972,8074,144.9910901
973,8082,144.7126926
974,8090,144.7126926
975,8098,144.4342816
976,8106,144.4342816
977,8113,144.155857
978,8121,144.155857
979,8129,143.8774189
980,8137,143.8774189
981,8144,143.8774189
982,8152,143.5989671
983,8160,143.3205017
984,8168,143.3205017
985,8175,143.0420225
986,8183,143.0420225
987,8191,143.0420225
988,8199,142.7635296
989,8207,142.7635296
990,8214,142.4850229
991,8222,142.4850229
992,8230,142.2065024
993,8238,142.2065024
994,8245,142.2065024
995,8253,141.927968
996,8261,141.927968
997,8269,141.927968
998,8277,141.6494197
999,8284,141.6494197
1000,8292,141.3708574
1001,8300,141.3708574
1002,8308,141.0922812
1003,8315,141.0922812
1004,8323,141.0922812
1005,8331,140.813691
1006,8339,140.813691
1007,8346,140.5350868
1008,8354,140.2564685
1009,8362,140.2564685
1010,8370,139.9778362
1011,8378,139.9778362
1012,8385,139.6991897
1013,8393,139.6991897
1014,8401,139.4205291
1015,8409,139.4205291
1016,8416,139.4205291
1017,8424,139.1418543
1018,8432,139.1418543
1019,8440,138.8631654
1020,8447,138.8631654
1021,8455,138.8631654
1022,8463,138.5844623
1023,8471,138.3057449
1024,8479,138.3057449
1025,8486,138.0270133
1026,8494,138.0270133
1027,8502,137.7482675
1028,8510,137.7482675
1029,8517,137.4695074
1030,8525,137.4695074
1031,8533,137.1907331
1032,8541,137.1907331
1033,8549,136.9119445
1034,8556,136.9119445
1035,8564,136.6331415
1036,8572,136.6331415
1037,8580,136.3543243
1038,8587,136.3543243
1039,8595,136.0754928
1040,8603,136.0754928
1041,8611,136.0754928
1042,8618,135.7966469
1043,8626,135.7966469
1044,8634,135.5177867
1045,8642,135.5177867
1046,8650,135.2389122
1047,8657,135.2389122
1048,8665,134.9600234
1049,8673,134.9600234
1050,8681,134.9600234
1051,8688,134.6811202
1052,8696,134.6811202
1053,8704,134.4022027
1054,8712,134.4022027
1055,8720,134.1232709
1056,8727,134.1232709
1057,8735,134.1232709
1058,8743,133.8443248
1059,8751,133.8443248
1060,8758,133.5653643
1061,8766,133.5653643
1062,8774,133.5653643
1063,8782,133.5653643
1064,8789,133.2863895
1065,8797,133.2863895
1066,8805,133.2863895
1067,8813,133.0074005
1068,8821,133.0074005
1069,8828,132.7283971
1070,8836,132.7283971
1071,8844,132.4493795
1072,8852,132.4493795
1073,8859,132.1703476
1074,8867,132.1703476
1075,8875,132.1703476
1076,8883,131.8913014
1077,8891,131.8913014
1078,8898,131.612241
1079,8906,131.612241
1080,8914,131.3331663
1081,8922,131.3331663
1082,8929,131.3331663
1083,8937,131.0540774
1084,8945,131.0540774
1085,8953,130.7749744
1086,8961,130.7749744
